ID=STRG.10002.3.exon3;Parent=STRG.10002.3
ID=STRG.10016.1.exon1;Parent=STRG.10016.1
ID=STRG.10023.3.exon4;Parent=STRG.10023.3
ID=STRG.10029.3.exon1;Parent=STRG.10029.3
ID=STRG.10029.3.exon2;Parent=STRG.10029.3
ID=STRG.10030.1.exon1;Parent=STRG.10030.1
ID=STRG.10039.1.exon6;Parent=STRG.10039.1
ID=STRG.10045.1.exon1;Parent=STRG.10045.1
ID=STRG.10060.3.exon4;Parent=STRG.10060.3
ID=STRG.10060.3.exon8;Parent=STRG.10060.3
ID=STRG.10062.1.exon19;Parent=STRG.10062.1
ID=STRG.10067.1.exon10;Parent=STRG.10067.1
ID=STRG.10073.1.exon2;Parent=STRG.10073.1
ID=STRG.10101.1.exon1;Parent=STRG.10101.1
ID=STRG.10113.2.exon1;Parent=STRG.10113.2
ID=STRG.10119.1.exon3;Parent=STRG.10119.1
ID=STRG.10138.2.exon3;Parent=STRG.10138.2
ID=STRG.10168.1.exon6;Parent=STRG.10168.1
ID=STRG.10170.1.exon6;Parent=STRG.10170.1
ID=STRG.10171.1.exon10;Parent=STRG.10171.1
ID=STRG.10173.2.exon1;Parent=STRG.10173.2
ID=STRG.10173.2.exon2;Parent=STRG.10173.2
ID=STRG.10179.2.exon1;Parent=STRG.10179.2
ID=STRG.102.1.exon3;Parent=STRG.102.1
ID=STRG.10215.1.exon11;Parent=STRG.10215.1
ID=STRG.10244.1.exon5;Parent=STRG.10244.1
ID=STRG.10249.1.exon4;Parent=STRG.10249.1
ID=STRG.10271.1.exon7;Parent=STRG.10271.1
ID=STRG.1029.1.exon11;Parent=STRG.1029.1
ID=STRG.1034.1.exon2;Parent=STRG.1034.1
ID=STRG.1034.1.exon3;Parent=STRG.1034.1
ID=STRG.10384.1.exon5;Parent=STRG.10384.1
ID=STRG.10393.1.exon1;Parent=STRG.10393.1
ID=STRG.10429.1.exon5;Parent=STRG.10429.1
ID=STRG.10444.1.exon1;Parent=STRG.10444.1
ID=STRG.10500.2.exon1;Parent=STRG.10500.2
ID=STRG.10508.1.exon3;Parent=STRG.10508.1
ID=STRG.10541.1.exon1;Parent=STRG.10541.1
ID=STRG.1058.1.exon4;Parent=STRG.1058.1
ID=STRG.10599.2.exon5;Parent=STRG.10599.2
ID=STRG.106.1.exon11;Parent=STRG.106.1
ID=STRG.1063.1.exon1;Parent=STRG.1063.1
ID=STRG.10636.1.exon1;Parent=STRG.10636.1
ID=STRG.10675.1.exon5;Parent=STRG.10675.1
ID=STRG.10734.2.exon1;Parent=STRG.10734.2
ID=STRG.10747.2.exon11;Parent=STRG.10747.2
ID=STRG.10772.1.exon5;Parent=STRG.10772.1
ID=STRG.10773.1.exon1;Parent=STRG.10773.1
ID=STRG.10786.1.exon5;Parent=STRG.10786.1
ID=STRG.10786.1.exon6;Parent=STRG.10786.1
ID=STRG.10786.1.exon7;Parent=STRG.10786.1
ID=STRG.10786.1.exon8;Parent=STRG.10786.1
ID=STRG.10786.1.exon9;Parent=STRG.10786.1
ID=STRG.10786.1.exon10;Parent=STRG.10786.1
ID=STRG.10786.1.exon11;Parent=STRG.10786.1
ID=STRG.10786.1.exon12;Parent=STRG.10786.1
ID=STRG.10786.1.exon13;Parent=STRG.10786.1
ID=STRG.10786.1.exon14;Parent=STRG.10786.1
ID=STRG.10786.1.exon15;Parent=STRG.10786.1
ID=STRG.10786.1.exon16;Parent=STRG.10786.1
ID=STRG.10786.1.exon17;Parent=STRG.10786.1
ID=STRG.10786.1.exon18;Parent=STRG.10786.1
ID=STRG.10786.1.exon19;Parent=STRG.10786.1
ID=STRG.10786.1.exon20;Parent=STRG.10786.1
ID=STRG.10786.1.exon21;Parent=STRG.10786.1
ID=STRG.10831.1.exon1;Parent=STRG.10831.1
ID=STRG.10831.1.exon3;Parent=STRG.10831.1
ID=STRG.10831.1.exon4;Parent=STRG.10831.1
ID=STRG.1092.4.exon10;Parent=STRG.1092.4
ID=STRG.10921.1.exon4;Parent=STRG.10921.1
ID=STRG.10927.1.exon11;Parent=STRG.10927.1
ID=STRG.10958.1.exon5;Parent=STRG.10958.1
ID=STRG.10970.3.exon1;Parent=STRG.10970.3
ID=STRG.10983.1.exon4;Parent=STRG.10983.1
